S;T;T2;Ta;sTa
0,250;0,749;0,132;0,28050;0,00075
0,300;0,843;0,123;0,35532;0,00084
0,350;0,911;0,113;0,41496;0,00091
0,400;0,927;0,109;0,42966;0,00093
0,450;0,990;0,102;0,49005;0,00099
0,500;1,080;0,098;0,5832;0,0011
0,550;1,093;0,095;0,5973;0,0011
0,600;1,117;0,091;0,6238;0,0011
0,650;1,211;0,089;0,7333;0,0012
0,700;1,242;0,085;0,7713;0,0012
