I;d2;sI;sd2
0,003461;0,0000;0,000077;0,0
0,003555;0,0009;0,000080;0,00006
0,00449;0,0036;0,00010;0,00012
0,00583;0,0081;0,00013;0,00018
0,00775;0,0144;0,00017;0,00024
