I;Bexpm;Bexp
0,28;0,07;0,00007
0,49;0,14;0,00014
0,72;0,22;0,00022
0,98;0,31;0,00031
1,18;0,38;0,00038
1,37;0,44;0,00044
1,59;0,52;0,00052
1,81;0,59;0,00059
2,01;0,65;0,00065
2,23;0,74;0,00074
2,48;0,80;0,00080
2,62;0,85;0,00085
2,77;0,90;0,00090
2,95;0,97;0,00097
3,23;1,05;0,00105
3,47;1,14;0,00114
3,65;1,21;0,00121
3,74;1,23;0,00123
