Imicro1;I1;T1;LnI1;sLnI1;Imicro2;I2;T2;LnI2;sLnI2;Imicro3;I3;T3;LnI3;sLnI3;Imicro4;I4;T4;LnI4;sLnI4
2,0;0,0000020;0,0;-13,122;0,050;2,6;0,0000026;0,0;-12,860;0,038;2,3;0,0000023;0,0;-12,983;0,043;1,4;0,0000014;0,0;-13,479;0,071
1,9;0,0000019;3,4;-13,174;0,053;2,5;0,0000025;3,3;-12,899;0,040;2,2;0,0000022;2,1;-13,027;0,045;1,3;0,0000013;1,9;-13,553;0,077
1,8;0,0000018;5,6;-13,228;0,056;2,4;0,0000024;4,8;-12,940;0,042;2,1;0,0000021;5,1;-13,074;0,048;1,2;0,0000012;5,3;-13,633;0,083
1,7;0,0000017;8,1;-13,285;0,059;2,3;0,0000023;6,6;-12,983;0,043;2,0;0,0000020;6,2;-13,122;0,050;1,1;0,0000011;9,6;-13,720;0,091
1,6;0,0000016;10,2;-13,346;0,063;2,2;0,0000022;8,6;-13,027;0,045;1,9;0,0000019;10,1;-13,174;0,053;1,0;0,0000010;13,4;-13,82;0,10
1,5;0,0000015;13,3;-13,410;0,067;2,1;0,0000021;10,9;-13,074;0,048;1,8;0,0000018;12,5;-13,228;0,056;0,9;0,0000009;17,8;-13,92;0,11
1,4;0,0000014;16,0;-13,479;0,071;2,0;0,0000020;13,0;-13,122;0,050;1,7;0,0000017;13,8;-13,285;0,059;0,8;0,0000008;23,5;-14,04;0,13
1,3;0,0000013;18,7;-13,553;0,077;1,9;0,0000019;14,7;-13,174;0,053;1,6;0,0000016;17,1;-13,346;0,063;0,7;0,0000007;28,7;-14,17;0,14
1,2;0,0000012;22,0;-13,633;0,083;1,8;0,0000018;17,4;-13,228;0,056;1,5;0,0000015;20,2;-13,410;0,067;0,6;0,0000006;34,3;-14,33;0,17
1,1;0,0000011;26,0;-13,720;0,091;1,7;0,0000017;19,4;-13,285;0,059;1,4;0,0000014;23,3;-13,479;0,071;0,5;0,0000005;42,2;-14,51;0,20
1,0;0,0000010;30,0;-13,82;0,10;1,6;0,0000016;22,0;-13,346;0,063;1,3;0,0000013;25,1;-13,553;0,077;0,4;0,0000004;50,6;-14,73;0,25
0,9;0,0000009;34,0;-13,92;0,11;1,5;0,0000015;24,8;-13,410;0,067;1,2;0,0000012;27,9;-13,633;0,083;0,3;0,0000003;64,7;-15,02;0,33
0,8;0,0000008;39,4;-14,04;0,13;1,4;0,0000014;28,2;-13,479;0,071;1,1;0,0000011;32,1;-13,720;0,091;0,2;0,0000002;82,3;-15,42;0,50
0,7;0,0000007;44,8;-14,17;0,14;1,3;0,0000013;31,4;-13,553;0,077;1,0;0,0000010;36,8;-13,82;0,10;0,1;0,0000001;110,1;-16,1;1,0
0,6;0,0000006;51,0;-14,33;0,17;1,2;0,0000012;34,2;-13,633;0,083;0,9;0,0000009;40,3;-13,92;0,11;;;;;
0,5;0,0000005;58,3;-14,51;0,20;1,1;0,0000011;38,2;-13,720;0,091;0,8;0,0000008;45,2;-14,04;0,13;;;;;
0,4;0,0000004;67,1;-14,73;0,25;1,0;0,0000010;41,4;-13,82;0,10;0,7;0,0000007;51,7;-14,17;0,14;;;;;
0,3;0,0000003;77,6;-15,02;0,33;0,9;0,0000009;46,2;-13,92;0,11;0,6;0,0000006;58,7;-14,33;0,17;;;;;
0,2;0,0000002;93,8;-15,42;0,50;0,8;0,0000008;51,2;-14,04;0,13;0,5;0,0000005;66,4;-14,51;0,20;;;;;
0,1;0,0000001;113,5;-16,1;1,0;0,7;0,0000007;56,8;-14,17;0,14;0,4;0,0000004;75,2;-14,73;0,25;;;;;
;;;;;0,6;0,0000006;62,7;-14,33;0,17;0,3;0,0000003;86,4;-15,02;0,33;;;;;
;;;;;0,5;0,0000005;70,2;-14,51;0,20;0,2;0,0000002;108,9;-15,42;0,50;;;;;
;;;;;0,4;0,0000004;79,2;-14,73;0,25;0,1;0,0000001;137,6;-16,1;1,0;;;;;
;;;;;0,3;0,0000003;91,0;-15,02;0,33;;;;;;;;;;
;;;;;0,2;0,0000002;105,1;-15,42;0,50;;;;;;;;;;
;;;;;0,1;0,0000001;127,2;-16,1;1,0;;;;;;;;;;
