I;Bexpm;Bexp
0,15;0,11;0,00011
0,34;0,27;0,00027
0,66;0,55;0,00055
0,94;0,78;0,00078
1,19;0,99;0,00099
1,39;1,16;0,00116
1,62;1,34;0,00134
1,80;1,51;0,00151
1,99;1,66;0,00166
2,16;1,82;0,00182
2,34;1,96;0,00196
2,56;2,15;0,00215
2,75;2,32;0,00232
2,95;2,49;0,00249
3,19;2,69;0,00269
3,42;2,89;0,00289
3,59;3,04;0,00304
3,74;3,17;0,00317
