z(mm);z;Bexp(mT);Bexp;Bteo
145;0,145;1,46;0,00146;0,00146
135;0,135;1,50;0,00150;0,00152
125;0,125;1,55;0,00155;0,00157
115;0,115;1,58;0,00158;0,00161
105;0,105;1,62;0,00162;0,00165
95;0,095;1,66;0,00166;0,00169
85;0,085;1,68;0,00168;0,00171
75;0,075;1,70;0,00170;0,00173
65;0,065;1,71;0,00171;0,00175
55;0,055;1,70;0,00170;0,00176
45;0,045;1,71;0,00171;0,00176
35;0,035;1,71;0,00171;0,00176
25;0,025;1,70;0,00170;0,00177
15;0,015;1,71;0,00171;0,00177
5;0,005;1,70;0,00170;0,00177
0;0,000;1,70;0,00170;0,00177
-10;-0,010;1,69;0,00169;0,00177
-20;-0,020;1,69;0,00169;0,00177
-30;-0,030;1,69;0,00169;0,00177
-40;-0,040;1,68;0,00168;0,00176
-50;-0,050;1,68;0,00168;0,00176
-60;-0,060;1,67;0,00167;0,00175
-70;-0,070;1,66;0,00166;0,00174
-80;-0,080;1,64;0,00164;0,00172
-90;-0,090;1,62;0,00162;0,00170
-100;-0,100;1,60;0,00160;0,00167
-110;-0,110;1,55;0,00155;0,00163
-120;-0,120;1,51;0,00151;0,00159
-130;-0,130;1,45;0,00145;0,00154
-140;-0,140;1,40;0,00140;0,00149
-150;-0,150;1,34;0,00134;0,00143
-160;-0,160;1,28;0,00128;0,00136
-170;-0,170;1,21;0,00121;0,00130
-180;-0,180;1,14;0,00114;0,00123
-190;-0,190;1,07;0,00107;0,00116
-200;-0,200;1,01;0,00101;0,00109
-210;-0,210;0,95;0,00095;0,00103
-220;-0,220;0,89;0,00089;0,00096
-230;-0,230;0,82;0,00082;0,00090
-240;-0,240;0,77;0,00077;0,00084
-250;-0,250;0,67;0,00067;0,00078
-260;-0,260;0,62;0,00062;0,00073
-270;-0,270;0,57;0,00057;0,00068
-280;-0,280;0,52;0,00052;0,00063
-290;-0,290;0,48;0,00048;0,00059
-300;-0,300;0,45;0,00045;0,00055
-310;-0,310;0,42;0,00042;0,00051
-320;-0,320;0,39;0,00039;0,00047
-330;-0,330;0,37;0,00037;0,00044
-340;-0,340;0,34;0,00034;0,00041
