Imicro1;I1;T1;LnI1;sLnI1;Imicro2;I2;T2;LnI2;sLnI2;Imicro3;I3;T3;LnI3;sLnI3;Imicro4;I4;T4;LnI4;sLnI4
2,2;0,0000022;0,0;-13,027;0,045;1,4;0,0000014;0,0;-13,479;0,071;3,1;0,0000031;0,0;-12,684;0,032;2,0;0,0000020;0,0;-13,122;0,050
2,1;0,0000021;2,7;-13,074;0,048;1,3;0,0000013;14,3;-13,553;0,077;3,0;0,0000030;3,5;-12,717;0,033;1,9;0,0000019;7,3;-13,174;0,053
2,0;0,0000020;9,0;-13,122;0,050;1,2;0,0000012;28,9;-13,633;0,083;2,9;0,0000029;6,9;-12,751;0,034;1,8;0,0000018;14,7;-13,228;0,056
1,9;0,0000019;14,6;-13,174;0,053;1,1;0,0000011;46,5;-13,720;0,091;2,8;0,0000028;9,8;-12,786;0,036;1,7;0,0000017;23,3;-13,285;0,059
1,8;0,0000018;23,1;-13,228;0,056;1,0;0,0000010;62,9;-13,82;0,10;2,7;0,0000027;13,2;-12,822;0,037;1,6;0,0000016;30,8;-13,346;0,063
1,7;0,0000017;30,4;-13,285;0,059;0,9;0,0000009;83,2;-13,92;0,11;2,6;0,0000026;16,5;-12,860;0,038;1,5;0,0000015;40,7;-13,410;0,067
1,6;0,0000016;38,4;-13,346;0,063;0,8;0,0000008;103,4;-14,04;0,13;2,5;0,0000025;19,8;-12,899;0,040;1,4;0,0000014;51,2;-13,479;0,071
1,5;0,0000015;47,0;-13,410;0,067;0,7;0,0000007;128,1;-14,17;0,14;2,4;0,0000024;24,7;-12,940;0,042;1,3;0,0000013;61,3;-13,553;0,077
1,4;0,0000014;56,5;-13,479;0,071;0,6;0,0000006;153,7;-14,33;0,17;2,3;0,0000023;29,3;-12,983;0,043;1,2;0,0000012;70,9;-13,633;0,083
1,3;0,0000013;64,7;-13,553;0,077;0,5;0,0000005;184,1;-14,51;0,20;2,2;0,0000022;32,3;-13,027;0,045;1,1;0,0000011;82,1;-13,720;0,091
1,2;0,0000012;75,6;-13,633;0,083;0,4;0,0000004;218,3;-14,73;0,25;2,1;0,0000021;37,8;-13,074;0,048;1,0;0,0000010;95,7;-13,82;0,10
1,1;0,0000011;87,6;-13,720;0,091;0,3;0,0000003;262,0;-15,02;0,33;2,0;0,0000020;41,5;-13,122;0,050;0,9;0,0000009;112,2;-13,92;0,11
1,0;0,0000010;97,6;-13,82;0,10;0,2;0,0000002;318,2;-15,42;0,50;1,9;0,0000019;46,7;-13,174;0,053;0,8;0,0000008;124,7;-14,04;0,13
0,9;0,0000009;111,3;-13,92;0,11;0,1;0,0000001;392,7;-16,1;1,0;1,8;0,0000018;52,1;-13,228;0,056;0,7;0,0000007;140,3;-14,17;0,14
0,8;0,0000008;126,7;-14,04;0,13;;;;;;1,7;0,0000017;57,6;-13,285;0,059;0,6;0,0000006;163,0;-14,33;0,17
0,7;0,0000007;141,2;-14,17;0,14;;;;;;1,6;0,0000016;63,2;-13,346;0,063;0,5;0,0000005;181,9;-14,51;0,20
0,6;0,0000006;162,3;-14,33;0,17;;;;;;1,5;0,0000015;69,8;-13,410;0,067;0,4;0,0000004;206,5;-14,73;0,25
0,5;0,0000005;183,4;-14,51;0,20;;;;;;1,4;0,0000014;75,7;-13,479;0,071;0,3;0,0000003;239,8;-15,02;0,33
0,4;0,0000004;205,6;-14,73;0,25;;;;;;1,3;0,0000013;83,4;-13,553;0,077;0,2;0,0000002;277,6;-15,42;0,50
0,3;0,0000003;235,9;-15,02;0,33;;;;;;1,2;0,0000012;90,9;-13,633;0,083;0,1;0,0000001;329,5;-16,1;1,0
0,2;0,0000002;274,3;-15,42;0,50;;;;;;1,1;0,0000011;99,8;-13,720;0,091;;;;;
0,1;0,0000001;350,2;-16,1;1,0;;;;;;1,0;0,0000010;107,6;-13,82;0,10;;;;;
;;;;;;;;;;0,9;0,0000009;117,8;-13,92;0,11;;;;;
;;;;;;;;;;0,8;0,0000008;130,8;-14,04;0,13;;;;;
;;;;;;;;;;0,7;0,0000007;142,3;-14,17;0,14;;;;;
;;;;;;;;;;0,6;0,0000006;157,9;-14,33;0,17;;;;;
;;;;;;;;;;0,5;0,0000005;175,4;-14,51;0,20;;;;;
;;;;;;;;;;0,4;0,0000004;196,3;-14,73;0,25;;;;;
;;;;;;;;;;0,3;0,0000003;223,5;-15,02;0,33;;;;;
;;;;;;;;;;0,2;0,0000002;263,2;-15,42;0,50;;;;;
;;;;;;;;;;0,1;0,0000001;328,7;-16,1;1,0;;;;;
