z(mm);z;Bexp(mT);Bexp;Bteo
-100;-0,100;1,60;0,00160;0,00167
-110;-0,110;1,55;0,00155;0,00163
-120;-0,120;1,51;0,00151;0,00159
-130;-0,130;1,45;0,00145;0,00154
-140;-0,140;1,40;0,00140;0,00149
-150;-0,150;1,34;0,00134;0,00143
-160;-0,160;1,28;0,00128;0,00136
-170;-0,170;1,21;0,00121;0,00130
-180;-0,180;1,14;0,00114;0,00123
-190;-0,190;1,07;0,00107;0,00116
-200;-0,200;1,01;0,00101;0,00109
-210;-0,210;0,95;0,00095;0,00103
-220;-0,220;0,89;0,00089;0,00096
-230;-0,230;0,82;0,00082;0,00090
-240;-0,240;0,77;0,00077;0,00084
-250;-0,250;0,67;0,00067;0,00078
-260;-0,260;0,62;0,00062;0,00073
-270;-0,270;0,57;0,00057;0,00068
-280;-0,280;0,52;0,00052;0,00063
-290;-0,290;0,48;0,00048;0,00059
-300;-0,300;0,45;0,00045;0,00055
-310;-0,310;0,42;0,00042;0,00051
-320;-0,320;0,39;0,00039;0,00047
-330;-0,330;0,37;0,00037;0,00044
-340;-0,340;0,34;0,00034;0,00041
