S;T;T1;T2
0,400;0,559;0,140;0,140
0,500;0,701;0,139;0,140
0,600;0,870;0,143;0,144
0,650;0,920;0,140;0,142
0,700;0,985;0,139;0,140
0,800;1,141;0,141;0,143
0,900;1,278;0,140;0,142
1,000;1,419;0,140;0,142
1,100;1,556;0,139;0,142
1,200;1,700;0,139;0,142
